X1-X2-M,Lattice parameter,Formation energy (SCAN),Formation energy (PBE),Energy above hull,Elastic constant,Band gap (PBE),Band gap (GW)
PH-PH-Ti,,-0.282801776,,,,,
PH-PH-W,,-0.01062999,,,,,
PH-PH-Zr,,-0.346264568,,,,,
S-S-Ce,,-1.892383631,,,,,
S-S-Ge,,-0.223975258,,,,,
S-S-Hf,,-1.760390918,,,,,
S-S-Ir,,-0.275214285,,,,,
S-S-Mo,,-0.620539875,,,,,
S-S-Os,,0.025265535,,,,,
S-S-Pd,,-0.251147065,,,,,
S-S-Pt,,-0.516308295,,,,,
S-S-Re,,-0.153082155,,,,,
S-S-Ru,,-0.217519835,,,,,
S-S-Sn,,-0.446482275,,,,,
S-S-Tc,,-0.334471388,,,,,
S-S-Te,,-1.66E-05,,,,,
S-S-Ti,,-1.473824661,,,,,
S-S-W,,-0.536292305,,,,,
S-S-Zr,,-1.768988451,,,,,
Se-Se-Ce,,-1.703472163,,,,,
Se-Se-Ge,,-0.108824123,,,,,
Se-Se-Hf,,-1.474655347,,,,,
Se-Se-Ir,,-0.205324803,,,,,
Se-Se-Mo,,-0.41638306,,,,,
Se-Se-Os,,0.164088553,,,,,
Se-Se-Pd,,-0.289910283,,,,,
Se-Se-Pt,,-0.51375614,,,,,
Se-Se-Re,,0.04660284,,,,,
Se-Se-Ru,,-0.132557813,,,,,
Se-Se-Sn,,-0.358004003,,,,,
Se-Se-Tc,,-0.198515733,,,,,
Se-Se-Te,,-0.072342503,,,,,
Se-Se-Ti,,-1.248322023,,,,,
Se-Se-W,,-0.254225073,,,,,
Se-Se-Zr,,-1.521382927,,,,,
Te-Te-Ce,,-1.29231081,,,,,
Te-Te-Ge,,0.017710863,,,,,
Te-Te-Hf,,-0.97197191,,,,,
Te-Te-Ir,,-0.367648323,,,,,
Te-Te-Mo,,-0.193988167,,,,,
Te-Te-Os,,0.10159672,,,,,
Te-Te-Pd,,-0.400374123,,,,,
Te-Te-Pt,,-0.622001277,,,,,
Te-Te-Re,,0.221331743,,,,,
Te-Te-Ru,,-0.160199307,,,,,
Te-Te-Sn,,-0.162181343,,,,,
Te-Te-Tc,,-0.106472957,,,,,
Te-Te-Ti,,-0.856915463,,,,,
Te-Te-W,,0.06218692,,,,,
Te-Te-Zr,,-1.07013484,,,,,
